구분,산업용판매량,인상후판매금액,인상전판매금액
강원,6641060413.0,700499052363.24,700499052363.24
경기,69429746855.0,10156183369949.4,7323449698265.4
경남,20428050384.0,2154750754504.32,2154750754504.32
경북,30053883950.0,3170083679046.0,3170083679046.0
광주,2916630068.0,426644646347.04,307646139572.64
대구,5553793697.0,812408941997.16,585814159159.56
대전,2426179676.0,354901563005.28,255913432224.48
부산,7305681972.0,770603334406.56,770603334406.56
서울,1565290724.0,228970727106.72,165106865567.52002
세종,1820094057.0,266243358657.96,191983521132.36002
울산,27951353885.0,4088724046297.8,2948308807789.8003
인천,11798237036.0,1244478042557.28,1244478042557.28
전남,23794741628.0,2509869346921.44,2509869346921.44
전북,12669411630.0,1853281533236.4,1336369538732.4001
제주,1755734225.0,256828802433.0,185194846053.0
충남,37264321259.0,3930640606399.3203,3930640606399.3203
충북,19290704589.0,2821844267278.92,2034783520047.72
합계,282664916048.0,35746956072507.84,29815495344743.043
